角色名,生日,团队
日野森志步,01-08,light_music_club
朝比奈真冬,01-27,school_refusal
巡音流歌,01-30,vocaloid
宵崎奏,02-10,school_refusal
KAITO,02-17,vocaloid
小豆泽こはね,03-02,street
桃井爱莉,03-19,idol
花里实乃里,04-14,idol
东云绘名,04-30,school_refusal
天马咲希,05-09,light_music_club
天马司,05-17,theme_park
青柳冬弥,05-25,street
神代类,06-24,theme_park
草薙宁宁,07-20,theme_park
白石杏,07-26,street
星乃一歌,08-11,light_music_club
晓山瑞希,08-27,school_refusal
初音未来,08-31,vocaloid
凤绘梦,09-09,theme_park
桐谷遥,10-05,idol
望月穗波,10-27,light_music_club
MEIKO,11-05,vocaloid
东云彰人,11-12,street
日野森雫,12-06,idol
镜音铃,12-27,vocaloid
镜音连,12-27,vocaloid
